,bfe28199-ae60-41ee-8296-6c0ad1a5f237,e51aba7d-76b3-4781-852f-fea474674e34,fd9a7eab-529f-427b-8cde-49a62263833f,425b92af-8faf-4e4a-bda3-26c1a5d3d9bc
The Big Wedding,77.0,73.0,76.0,56.0
Kill Your Darlings,79.0,76.0,65.0,56.0
Snitch,77.0,73.0,73.0,56.0
The Smurfs 2,82.0,73.0,69.0,50.0
Last Vegas,82.0,73.0,76.0,53.0
Fruitvale Station,81.0,69.0,63.0,55.0
Palo Alto,77.0,73.0,76.0,56.0
Bad Grandpa,77.0,73.0,76.0,56.0
Philomena,79.0,76.0,63.0,55.0
The Canyons,76.0,76.0,76.0,76.0
Jobs,79.0,76.0,65.0,56.0
Europa Report,77.0,73.0,73.0,56.0
The Immigrant,77.0,73.0,76.0,56.0
I Give It a Year,77.0,73.0,76.0,56.0
Starred Up,55.0,55.0,55.0,55.0
21 & Over,77.0,73.0,76.0,56.0
The Inevitable Defeat of Mister & Pete,55.0,55.0,55.0,55.0
Romeo and Juliet,77.0,73.0,76.0,56.0
Runner Runner,77.0,73.0,76.0,56.0
A Haunted House,66.0,76.0,66.0,56.0
The Tale of The Princess Kaguya,57.0,57.0,68.0,46.0
The Double,77.0,73.0,76.0,56.0
Yeh Jawaani Hai Deewani,55.0,55.0,55.0,55.0
How I Live Now,77.0,73.0,73.0,56.0
Upstream Color,77.0,73.0,76.0,56.0
Parkland,77.0,73.0,76.0,56.0
A Field in England,77.0,73.0,76.0,56.0
In Secret,77.0,73.0,76.0,56.0
Paranoia,77.0,73.0,76.0,56.0
The Past,55.0,55.0,55.0,55.0
Breathe In,77.0,73.0,76.0,56.0
V/H/S/2,77.0,73.0,76.0,56.0
Knights of Badassdom,77.0,73.0,73.0,56.0
The Congress,77.0,73.0,69.0,46.0
The Fifth Estate,79.0,76.0,65.0,56.0
Ida,55.0,55.0,55.0,55.0
The Love Punch,77.0,73.0,76.0,56.0
Tracks,55.0,55.0,55.0,55.0
Bad Words,77.0,73.0,76.0,56.0
In a World...,77.0,73.0,76.0,56.0
Ain't Them Bodies Saints,77.0,73.0,76.0,56.0
Man of Tai Chi,82.0,73.0,73.0,53.0
The East,77.0,73.0,76.0,56.0
The Lunchbox,55.0,55.0,55.0,55.0
New World,88.0,72.0,72.0,55.0
Charlie Countryman,77.0,73.0,73.0,56.0
Getaway,73.0,76.0,72.0,73.0
Guardians of the Galaxy,88.0,67.0,72.0,55.0
Interstellar,55.0,55.0,55.0,55.0
John Wick,88.0,72.0,72.0,55.0
Edge of Tomorrow,88.0,72.0,72.0,55.0
Gone Girl,55.0,55.0,55.0,55.0
Captain America: The Winter Soldier,88.0,72.0,72.0,55.0
The Grand Budapest Hotel,55.0,55.0,55.0,55.0
Whiplash,55.0,55.0,55.0,55.0
Kingsman: The Secret Service,88.0,72.0,72.0,55.0
Ex Machina,55.0,55.0,55.0,55.0
Divergent,81.0,71.0,73.0,56.0
Nightcrawler,58.0,58.0,58.0,58.0
The Hobbit: The Battle of the Five Armies,55.0,55.0,55.0,55.0
The Equalizer,88.0,72.0,72.0,55.0
The Maze Runner,77.0,73.0,73.0,56.0
Lucy,77.0,73.0,73.0,56.0
Chef,57.0,57.0,72.0,55.0
What We Do in the Shadows,56.0,56.0,56.0,56.0
The Imitation Game,79.0,76.0,70.0,55.0
Fury,88.0,72.0,72.0,55.0
X-Men: Days of Future Past,88.0,72.0,72.0,55.0
Predestination,88.0,72.0,72.0,55.0
The Purge: Anarchy,77.0,73.0,73.0,56.0
Birdman or (The Unexpected Virtue of Ignorance),56.0,56.0,56.0,56.0
It Follows,77.0,73.0,76.0,56.0
Blended,77.0,73.0,76.0,58.0
The Judge,55.0,55.0,55.0,55.0
The Giver,77.0,73.0,76.0,56.0
300: Rise of an Empire,77.0,73.0,73.0,56.0
American Sniper,88.0,72.0,72.0,55.0
"Love, Rosie",56.0,56.0,56.0,56.0
Big Hero 6,57.0,57.0,68.0,46.0
The Amazing Spider-Man 2,77.0,73.0,73.0,56.0
Maleficent,88.0,72.0,72.0,55.0
Into the Woods,77.0,73.0,76.0,56.0
Unbroken,88.0,72.0,72.0,55.0
The Lego Movie,57.0,57.0,68.0,46.0
The Hunger Games: Mockingjay - Part 1,77.0,73.0,73.0,56.0
Tusk,77.0,73.0,76.0,56.0
Night at the Museum: Secret of the Tomb,77.0,73.0,76.0,56.0
The Fault in Our Stars,55.0,55.0,55.0,55.0
"As Above, So Below",77.0,73.0,76.0,56.0
Annabelle,77.0,73.0,76.0,56.0
Boyhood,55.0,55.0,55.0,55.0
The Theory of Everything,79.0,76.0,63.0,55.0
The Expendables 3,77.0,73.0,73.0,56.0
The Interview,77.0,73.0,73.0,56.0
The Drop,55.0,55.0,55.0,55.0
Transformers: Age of Extinction,77.0,73.0,73.0,56.0
Inherent Vice,77.0,73.0,76.0,56.0
The Babadook,77.0,73.0,76.0,56.0
Sex Tape,77.0,73.0,76.0,56.0
The Other Woman,77.0,73.0,76.0,56.0
Wild Tales,56.0,56.0,56.0,56.0
Wild,55.0,55.0,55.0,55.0
Foxcatcher,79.0,76.0,63.0,55.0
The Guest,77.0,73.0,73.0,56.0
22 Jump Street,88.0,72.0,72.0,55.0
Dawn of the Planet of the Apes,88.0,72.0,72.0,55.0
Sin City: A Dame to Kill for,77.0,73.0,73.0,56.0
Brick Mansions,77.0,73.0,73.0,56.0
Vampire Academy,77.0,73.0,73.0,56.0
The Monuments Men,77.0,73.0,76.0,56.0
Honeymoon,77.0,73.0,70.0,56.0
Dumb and Dumber to,77.0,73.0,76.0,56.0
Before We Go,77.0,73.0,76.0,56.0
How to Train Your Dragon 2,57.0,57.0,68.0,46.0
Noah,77.0,73.0,73.0,56.0
A Walk Among the Tombstones,77.0,73.0,72.0,55.0
Need for Speed,77.0,73.0,73.0,56.0
Rio 2,77.0,73.0,69.0,46.0
Seventh Son,77.0,73.0,73.0,56.0
Exodus: Gods and Kings,77.0,73.0,73.0,56.0
A Million Ways to Die in the West,77.0,73.0,76.0,56.0
Sabotage,77.0,73.0,73.0,56.0
Paddington,57.0,57.0,68.0,46.0
Non-Stop,77.0,73.0,73.0,56.0
The Best of Me,77.0,73.0,76.0,56.0
Horrible Bosses 2,77.0,73.0,76.0,56.0
This Is Where I Leave You,77.0,73.0,76.0,56.0
Into the Storm,77.0,73.0,73.0,56.0
Penguins of Madagascar,77.0,73.0,69.0,46.0
Jack Ryan: Shadow Recruit,82.0,73.0,73.0,53.0
Mommy,81.0,71.0,69.0,55.0
Testament of Youth,79.0,76.0,63.0,55.0
Cooties,77.0,73.0,73.0,56.0
The Book of Life,57.0,57.0,68.0,46.0
Goodnight Mommy,81.0,73.0,80.0,56.0
The November Man,77.0,73.0,73.0,56.0
Dracula Untold,77.0,73.0,73.0,56.0
Unfriended,77.0,73.0,76.0,56.0
I Origins,55.0,55.0,55.0,55.0
Transcendence,77.0,73.0,73.0,56.0
Just Before I Go,77.0,73.0,76.0,56.0
Before I Go to Sleep,77.0,73.0,76.0,56.0
The Good Lie,79.0,76.0,63.0,55.0
Deliver Us from Evil,77.0,73.0,73.0,56.0
The Raid 2,88.0,72.0,72.0,55.0
Taken 3,77.0,73.0,73.0,56.0
Pompeii,82.0,73.0,73.0,53.0
Kill Me Three Times,77.0,73.0,73.0,56.0
Ride Along,77.0,73.0,73.0,56.0
That Awkward Moment,77.0,73.0,76.0,56.0
The Homesman,77.0,73.0,76.0,56.0
Black Sea,77.0,73.0,72.0,55.0
"Men, Women & Children",77.0,73.0,76.0,56.0
Let's Be Cops,77.0,73.0,73.0,56.0
A Most Violent Year,88.0,72.0,72.0,55.0
PK,56.0,56.0,56.0,56.0
A Little Chaos,77.0,73.0,76.0,56.0
The Loft,77.0,73.0,76.0,48.0
A Most Wanted Man,77.0,73.0,76.0,56.0
Clown,77.0,73.0,76.0,56.0
The Signal,77.0,73.0,76.0,56.0
The Hundred-Foot Journey,56.0,56.0,56.0,56.0
Beyond the Lights,77.0,73.0,76.0,56.0
Maps to the Stars,77.0,73.0,76.0,56.0
If I Stay,77.0,73.0,76.0,56.0
She's Funny That Way,77.0,73.0,76.0,56.0
'71,88.0,72.0,72.0,55.0
Still Alice,55.0,55.0,55.0,55.0
3 Days to Kill,77.0,73.0,73.0,58.0
Spring,77.0,73.0,76.0,56.0
Love & Mercy,79.0,68.0,63.0,55.0
Big Eyes,79.0,76.0,63.0,55.0
Addicted,77.0,73.0,76.0,56.0
The Water Diviner,55.0,55.0,55.0,55.0
Selma,79.0,76.0,63.0,55.0
Veronica Mars,77.0,73.0,76.0,56.0
Million Dollar Arm,79.0,76.0,63.0,55.0
The One I Love,56.0,56.0,56.0,56.0
Jersey Boys,79.0,76.0,65.0,56.0
Walk of Shame,77.0,73.0,76.0,56.0
Draft Day,77.0,73.0,76.0,56.0
And So It Goes,77.0,73.0,76.0,56.0
A Haunted House 2,66.0,76.0,66.0,56.0
The Gambler,77.0,73.0,76.0,56.0
Cake,77.0,73.0,76.0,56.0
"I, Frankenstein",77.0,73.0,73.0,56.0
Muppets Most Wanted,77.0,73.0,76.0,56.0
Two Night Stand,77.0,73.0,76.0,56.0
Son of a Gun,77.0,73.0,73.0,56.0
Pawn Sacrifice,79.0,76.0,63.0,55.0
Left Behind,73.0,76.0,72.0,73.0
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",77.0,73.0,76.0,56.0
St. Vincent,56.0,56.0,56.0,56.0
The Legend of Hercules,73.0,76.0,72.0,73.0
Kill the Messenger,79.0,76.0,65.0,56.0
Step Up All in,77.0,73.0,76.0,56.0
The Salvation,77.0,73.0,73.0,56.0
God's Not Dead,76.0,76.0,76.0,76.0
Winter's Tale,77.0,73.0,76.0,56.0
When Marnie Was There,57.0,57.0,68.0,46.0
Mr. Peabody & Sherman,77.0,73.0,69.0,46.0
Tammy,66.0,76.0,66.0,56.0
Big Game,77.0,73.0,73.0,56.0
A Long Way Down,77.0,73.0,76.0,56.0
The Rover,77.0,73.0,73.0,56.0
Force Majeure,56.0,56.0,56.0,56.0
"Two Days, One Night",66.0,73.0,66.0,48.0
Lost River,77.0,73.0,76.0,56.0
Magic in the Moonlight,77.0,73.0,76.0,56.0
Song of the Sea,57.0,57.0,68.0,46.0
Hector and the Search for Happiness,57.0,57.0,72.0,55.0
The Quiet Ones,77.0,73.0,76.0,56.0
Zombeavers,73.0,76.0,72.0,73.0
Barefoot,77.0,73.0,76.0,56.0
Serena,77.0,73.0,76.0,56.0
The Duke of Burgundy,77.0,73.0,76.0,56.0
Effie Gray,79.0,76.0,65.0,56.0
Wish I Was Here,77.0,73.0,76.0,56.0
Frank,56.0,56.0,56.0,56.0
Get on Up,81.0,71.0,65.0,56.0
Suffragette,77.0,73.0,76.0,56.0
Ouija,76.0,76.0,76.0,76.0
Heaven Is for Real,79.0,76.0,65.0,56.0
While We're Young,77.0,73.0,76.0,56.0
Winter Sleep,55.0,55.0,55.0,55.0
White Bird in a Blizzard,77.0,73.0,76.0,56.0
Dear White People,77.0,73.0,76.0,56.0
Calvary,55.0,55.0,55.0,55.0
Think Like a Man Too,77.0,73.0,76.0,56.0
Heaven Knows What,77.0,73.0,76.0,56.0
The Keeping Room,77.0,73.0,76.0,56.0
Planes: Fire & Rescue,77.0,73.0,69.0,46.0
Top Five,77.0,73.0,76.0,56.0
99 Homes,55.0,55.0,55.0,55.0
Black or White,77.0,67.0,76.0,56.0
Clouds of Sils Maria,77.0,73.0,76.0,56.0
Big Stone Gap,77.0,73.0,76.0,56.0
Laggies,77.0,73.0,76.0,56.0
Mad Max: Fury Road,88.0,72.0,72.0,55.0
Avengers: Age of Ultron,88.0,72.0,72.0,55.0
Crimson Peak,77.0,73.0,76.0,56.0
Furious 7,88.0,72.0,72.0,55.0
The Hateful Eight,55.0,55.0,55.0,55.0
Ant-Man,88.0,73.0,72.0,58.0
Fifty Shades of Grey,76.0,76.0,76.0,76.0
Sicario,88.0,67.0,72.0,55.0
The Witch,77.0,73.0,76.0,56.0
The Big Short,79.0,76.0,63.0,55.0
Jurassic World,88.0,72.0,72.0,55.0
The Revenant,88.0,72.0,72.0,55.0
The Martian,55.0,55.0,55.0,55.0
Room,55.0,55.0,55.0,55.0
Inside Out,57.0,57.0,68.0,46.0
Spotlight,79.0,76.0,63.0,55.0
American Ultra,77.0,73.0,73.0,56.0
The Man from U.N.C.L.E.,88.0,72.0,72.0,55.0
Terminator Genisys,77.0,73.0,73.0,56.0
Cinderella,82.0,73.0,76.0,53.0
Star Wars: Episode VII - The Force Awakens,88.0,72.0,72.0,55.0
The Lobster,56.0,56.0,56.0,56.0
Spectre,77.0,73.0,73.0,56.0
High-Rise,77.0,73.0,76.0,56.0
Chappie,77.0,73.0,73.0,56.0
Knock Knock,76.0,76.0,76.0,76.0
In the Heart of the Sea,77.0,73.0,73.0,56.0
The Bronze,77.0,73.0,76.0,56.0
The Intern,66.0,67.0,66.0,56.0
The Hunger Games: Mockingjay - Part 2,77.0,73.0,73.0,56.0
Everest,88.0,67.0,72.0,55.0
Blackhat,77.0,73.0,73.0,56.0
Spy,88.0,72.0,72.0,55.0
Mission: Impossible - Rogue Nation,88.0,72.0,72.0,55.0
The Visit,77.0,73.0,76.0,56.0
Vacation,77.0,73.0,76.0,56.0
Creed,55.0,55.0,55.0,55.0
The Age of Adaline,55.0,55.0,55.0,55.0
Black Mass,79.0,76.0,65.0,56.0
Focus,82.0,73.0,76.0,53.0
Home,77.0,73.0,69.0,46.0
Jupiter Ascending,77.0,73.0,73.0,56.0
I Saw the Light,79.0,76.0,65.0,56.0
Minions,77.0,73.0,69.0,46.0
Pitch Perfect 2,77.0,73.0,76.0,56.0
San Andreas,77.0,73.0,72.0,55.0
Trainwreck,77.0,73.0,76.0,56.0
Tomorrowland,77.0,73.0,73.0,56.0
Bridge of Spies,55.0,55.0,55.0,55.0
The Danish Girl,79.0,76.0,63.0,55.0
The Divergent Series: Insurgent,77.0,73.0,73.0,56.0
Straight Outta Compton,79.0,76.0,63.0,55.0
Carol,55.0,55.0,55.0,55.0
The Boy Next Door,76.0,76.0,76.0,76.0
Southpaw,88.0,72.0,72.0,55.0
The Dressmaker,56.0,56.0,56.0,56.0
Maze Runner: The Scorch Trials,77.0,73.0,73.0,56.0
Lost and Love,77.0,73.0,76.0,56.0
The Last Witch Hunter,77.0,73.0,73.0,56.0
Green Room,55.0,55.0,55.0,55.0
Burnt,77.0,73.0,76.0,56.0
The Good Dinosaur,77.0,73.0,69.0,46.0
Far from the Madding Crowd,55.0,55.0,55.0,55.0
The Invitation,77.0,73.0,76.0,56.0
Get Hard,77.0,73.0,76.0,56.0
Hitman: Agent 47,77.0,73.0,73.0,56.0
Entourage,77.0,73.0,76.0,56.0
Steve Jobs,79.0,76.0,63.0,55.0
Scouts Guide to the Zombie Apocalypse,77.0,73.0,73.0,56.0
Hardcore Henry,77.0,73.0,73.0,56.0
Joy,79.0,76.0,65.0,56.0
Brooklyn,58.0,58.0,58.0,58.0
Youth,56.0,56.0,56.0,56.0
Self/less,77.0,73.0,73.0,58.0
Ted 2,77.0,73.0,76.0,56.0
Pan,77.0,73.0,76.0,56.0
Pixels,82.0,73.0,73.0,53.0
Demolition,56.0,56.0,56.0,56.0
Macbeth,77.0,73.0,76.0,56.0
Daddy's Home,77.0,73.0,76.0,56.0
Run All Night,77.0,73.0,72.0,55.0
Mr. Right,77.0,73.0,73.0,56.0
Magic Mike XXL,77.0,73.0,76.0,56.0
The DUFF,77.0,73.0,76.0,56.0
Trumbo,79.0,76.0,63.0,55.0
Hotel Transylvania 2,77.0,73.0,69.0,46.0
Knight of Cups,77.0,73.0,76.0,56.0
The Stanford Prison Experiment,79.0,76.0,65.0,56.0
The Longest Ride,55.0,55.0,55.0,55.0
Victor Frankenstein,77.0,73.0,76.0,56.0
Insidious: Chapter 3,77.0,73.0,76.0,56.0
Goosebumps,77.0,73.0,76.0,56.0
Aloha,82.0,73.0,76.0,53.0
Baahubali: The Beginning,88.0,72.0,72.0,55.0
A Bigger Splash,77.0,73.0,76.0,56.0
The Wedding Ringer,77.0,73.0,76.0,56.0
Sisters,77.0,73.0,76.0,56.0
Secret in Their Eyes,77.0,73.0,76.0,56.0
Irrational Man,77.0,73.0,76.0,56.0
Wild Card,77.0,73.0,73.0,56.0
Paper Towns,77.0,73.0,76.0,56.0
The Lady in the Van,79.0,76.0,65.0,56.0
The SpongeBob Movie: Sponge Out of Water,77.0,73.0,69.0,46.0
Child 44,77.0,73.0,76.0,56.0
The Wave,82.0,73.0,73.0,53.0
A Man Called Ove,56.0,56.0,56.0,56.0
Beasts of No Nation,55.0,55.0,55.0,55.0
Me and Earl and the Dying Girl,82.0,69.0,69.0,53.0
Sleeping with Other People,77.0,73.0,76.0,56.0
Concussion,79.0,76.0,63.0,55.0
The Diary of a Teenage Girl,77.0,73.0,76.0,56.0
Mustang,55.0,55.0,55.0,55.0
The Walk,88.0,72.0,72.0,55.0
Tangerine,56.0,56.0,56.0,56.0
A Walk in the Woods,77.0,73.0,76.0,56.0
Sinister 2,77.0,73.0,76.0,56.0
Summertime,82.0,73.0,76.0,53.0
Anomalisa,57.0,57.0,68.0,46.0
The Blackcoat's Daughter,77.0,73.0,76.0,56.0
Mississippi Grind,77.0,73.0,76.0,56.0
Drishyam,55.0,55.0,55.0,55.0
Attack on Titan Part 1,73.0,76.0,72.0,73.0
Woman in Gold,79.0,76.0,63.0,55.0
Eddie the Eagle,79.0,76.0,63.0,55.0
Eye in the Sky,88.0,72.0,72.0,55.0
The Second Best Exotic Marigold Hotel,77.0,73.0,76.0,56.0
Tumbledown,82.0,73.0,76.0,53.0
The Meddler,77.0,73.0,76.0,56.0
We Are Your Friends,77.0,73.0,76.0,56.0
Into the Forest,77.0,73.0,76.0,56.0
Grandma,77.0,73.0,76.0,56.0
Bajirao Mastani,88.0,72.0,72.0,55.0
By the Sea,77.0,73.0,76.0,56.0
Mortdecai,77.0,73.0,73.0,56.0
I'll See You in My Dreams,77.0,73.0,76.0,56.0
Maggie,77.0,73.0,76.0,56.0
Project Almanac,77.0,73.0,76.0,56.0
Regression,77.0,73.0,76.0,56.0
True Story,79.0,76.0,65.0,56.0
The Man Who Knew Infinity,79.0,76.0,63.0,55.0
The Transporter Refueled,77.0,73.0,73.0,56.0
Z for Zachariah,77.0,73.0,76.0,56.0
Equals,77.0,73.0,76.0,56.0
Dope,55.0,55.0,55.0,55.0
Land of Mine,55.0,55.0,55.0,55.0
Krampus,77.0,73.0,76.0,56.0
Bajrangi Bhaijaan,88.0,72.0,72.0,55.0
The Lure,77.0,73.0,76.0,56.0
The Gunman,77.0,73.0,73.0,56.0
The Night Before,77.0,73.0,76.0,56.0
90 Minutes in Heaven,68.0,68.0,68.0,68.0
Tale of Tales,77.0,73.0,76.0,56.0
Ip Man 3,79.0,73.0,72.0,51.0
"McFarland, USA",79.0,76.0,63.0,55.0
Strange Magic,77.0,73.0,69.0,46.0
The Peanuts Movie,57.0,57.0,68.0,46.0
Rock the Kasbah,77.0,73.0,76.0,56.0
The Sea of Trees,77.0,73.0,76.0,56.0
Alvin and the Chipmunks: The Road Chip,63.0,76.0,68.0,45.0
The Lazarus Effect,77.0,73.0,76.0,56.0
Love the Coopers,77.0,73.0,76.0,56.0
The 33,79.0,76.0,65.0,56.0
The Little Prince,57.0,57.0,68.0,46.0
Louder Than Bombs,77.0,73.0,76.0,56.0
The Gallows,76.0,76.0,76.0,76.0
The Ones Below,77.0,73.0,70.0,56.0
Southbound,77.0,73.0,76.0,56.0
Men & Chicken,77.0,73.0,76.0,56.0
Hyena Road,77.0,73.0,73.0,56.0
Slow West,81.0,73.0,73.0,68.0
The End of the Tour,79.0,76.0,63.0,55.0
Cop Car,77.0,73.0,76.0,56.0
The Daughter,77.0,73.0,76.0,56.0
Jem and the Holograms,76.0,76.0,76.0,76.0
Cemetery of Splendor,77.0,73.0,76.0,56.0
Captive,77.0,73.0,73.0,56.0
Our Brand Is Crisis,77.0,73.0,76.0,56.0
Unfinished Business,77.0,73.0,76.0,56.0
Hot Tub Time Machine 2,77.0,73.0,76.0,56.0
Turbo Kid,77.0,73.0,73.0,56.0
The Overnight,77.0,73.0,76.0,56.0
"Hello, My Name Is Doris",77.0,73.0,76.0,56.0
Ricki and the Flash,77.0,73.0,76.0,56.0
Danny Collins,79.0,76.0,63.0,55.0
Son of Saul,74.0,73.0,68.0,55.0
Mr. Holmes,77.0,73.0,76.0,56.0
Empire of Lust,77.0,73.0,73.0,56.0
Paul Blart: Mall Cop 2,73.0,76.0,72.0,73.0
Remember,55.0,55.0,55.0,55.0
War Room,77.0,73.0,76.0,56.0
Dragon Blade,77.0,73.0,73.0,56.0
45 Years,55.0,55.0,55.0,55.0
Mother's Day,77.0,73.0,76.0,56.0
Suicide Squad,77.0,73.0,73.0,56.0
The Magnificent Seven,77.0,73.0,73.0,56.0
Captain America: Civil War,88.0,72.0,72.0,55.0
Warcraft,77.0,73.0,73.0,56.0
Deadpool,88.0,72.0,72.0,55.0
Doctor Strange,88.0,72.0,72.0,55.0
Split,58.0,58.0,58.0,58.0
Me Before You,55.0,55.0,55.0,55.0
Don't Breathe,55.0,55.0,55.0,55.0
Lady Macbeth,77.0,73.0,76.0,56.0
Moana,57.0,57.0,68.0,46.0
Arrival,55.0,55.0,55.0,55.0
X-Men: Apocalypse,77.0,73.0,73.0,56.0
Captain Fantastic,56.0,56.0,56.0,56.0
Star Trek Beyond,88.0,72.0,72.0,55.0
La La Land,56.0,56.0,56.0,56.0
The Conjuring 2,55.0,55.0,55.0,55.0
Zootopia,57.0,57.0,68.0,46.0
The Huntsman: Winter's War,77.0,73.0,72.0,55.0
Hacksaw Ridge,81.0,71.0,63.0,55.0
The Handmaiden,55.0,55.0,55.0,55.0
13 Hours,88.0,72.0,72.0,55.0
Nocturnal Animals,55.0,55.0,55.0,55.0
Rogue One: A Star Wars Story,88.0,72.0,72.0,55.0
Batman v Superman: Dawn of Justice,77.0,73.0,73.0,56.0
Your Name.,57.0,57.0,68.0,46.0
Kung Fu Panda 3,57.0,57.0,68.0,46.0
The Nice Guys,88.0,72.0,72.0,55.0
Independence Day: Resurgence,77.0,73.0,73.0,56.0
Raw,55.0,55.0,55.0,55.0
Miss Peregrine's Home for Peculiar Children,77.0,73.0,76.0,56.0
Fantastic Beasts and Where to Find Them,55.0,55.0,55.0,55.0
Train to Busan,88.0,72.0,72.0,55.0
Resident Evil: The Final Chapter,77.0,73.0,73.0,56.0
Criminal,77.0,73.0,73.0,56.0
Underworld: Blood Wars,77.0,73.0,73.0,56.0
The Shallows,77.0,73.0,73.0,56.0
Hidden Figures,79.0,76.0,63.0,55.0
Sausage Party,77.0,73.0,69.0,46.0
The Girl on the Train,77.0,73.0,76.0,56.0
Hell or High Water,88.0,72.0,72.0,55.0
The Purge: Election Year,77.0,73.0,73.0,56.0
The Accountant,88.0,72.0,72.0,55.0
The Neon Demon,77.0,73.0,76.0,58.0
Moonlight,55.0,55.0,55.0,55.0
Jason Bourne,77.0,73.0,73.0,56.0
Manchester by the Sea,55.0,55.0,55.0,55.0
Central Intelligence,77.0,73.0,73.0,56.0
War Dogs,79.0,76.0,70.0,55.0
The Legend of Tarzan,77.0,73.0,73.0,56.0
Silence,55.0,55.0,55.0,55.0
American Honey,55.0,55.0,55.0,55.0
Gods of Egypt,77.0,73.0,73.0,56.0
Hunt for the Wilderpeople,55.0,55.0,55.0,55.0
The Founder,79.0,76.0,63.0,55.0
Inferno,77.0,67.0,73.0,56.0
Now You See Me 2,77.0,73.0,73.0,56.0
Miss Sloane,55.0,55.0,55.0,55.0
10 Cloverfield Lane,88.0,72.0,72.0,55.0
The Lost City of Z,79.0,76.0,65.0,56.0
Finding Dory,57.0,57.0,68.0,46.0
Lion,79.0,76.0,63.0,55.0
Lights Out,77.0,73.0,76.0,56.0
Meet the Blacks,66.0,76.0,66.0,56.0
Allied,88.0,72.0,72.0,55.0
Jack Reacher: Never Go Back,77.0,73.0,73.0,56.0
Bridget Jones's Baby,77.0,73.0,76.0,56.0
How to Be Single,77.0,73.0,76.0,56.0
Snowden,79.0,76.0,63.0,55.0
Dangal,88.0,72.0,72.0,55.0
The Bad Batch,77.0,73.0,73.0,56.0
Triple 9,77.0,73.0,73.0,56.0
Deepwater Horizon,88.0,72.0,72.0,55.0
The Choice,77.0,73.0,76.0,56.0
Sully,79.0,76.0,63.0,55.0
Morgan,77.0,73.0,73.0,56.0
Pride and Prejudice and Zombies,77.0,73.0,73.0,56.0
The Infiltrator,79.0,76.0,63.0,55.0
The Edge of Seventeen,56.0,56.0,56.0,56.0
A Cure for Wellness,77.0,73.0,76.0,56.0
London Has Fallen,77.0,73.0,73.0,56.0
Dirty Grandpa,77.0,73.0,76.0,56.0
"Hail, Caesar!",77.0,73.0,76.0,56.0
The 5th Wave,77.0,73.0,73.0,56.0
Trolls,77.0,73.0,69.0,46.0
Allegiant,77.0,73.0,73.0,56.0
Paterson,56.0,56.0,56.0,56.0
Swiss Army Man,56.0,56.0,56.0,56.0
The Great Wall,77.0,73.0,73.0,56.0
Mike and Dave Need Wedding Dates,77.0,73.0,76.0,56.0
Bad Moms,77.0,73.0,76.0,56.0
Collateral Beauty,77.0,73.0,76.0,56.0
The Boy,77.0,73.0,76.0,56.0
Fences,81.0,71.0,69.0,55.0
Alice Through the Looking Glass,77.0,73.0,76.0,56.0
The Brothers Grimsby,77.0,73.0,73.0,56.0
Ice Age: Collision Course,77.0,73.0,69.0,46.0
Patriots Day,88.0,72.0,72.0,55.0
Keeping Up with the Joneses,82.0,73.0,73.0,53.0
Genius,79.0,76.0,65.0,56.0
The Secret Life of Pets,77.0,73.0,70.0,46.0
Popstar: Never Stop Never Stopping,77.0,73.0,70.0,56.0
Goldstone,77.0,73.0,76.0,56.0
20th Century Women,56.0,56.0,56.0,56.0
Assassin's Creed,77.0,73.0,73.0,56.0
Teenage Mutant Ninja Turtles: Out of the Shadows,77.0,73.0,73.0,56.0
White Girl,77.0,73.0,76.0,56.0
Everybody Wants Some!!,77.0,73.0,76.0,58.0
The Take,77.0,73.0,73.0,56.0
The Finest Hours,77.0,73.0,73.0,58.0
Greater,79.0,76.0,63.0,55.0
The Love Witch,77.0,73.0,76.0,56.0
The Belko Experiment,77.0,73.0,76.0,56.0
The BFG,77.0,73.0,76.0,58.0
Zoolander 2,73.0,76.0,72.0,73.0
Midnight Special,77.0,73.0,76.0,56.0
The Angry Birds Movie,77.0,73.0,69.0,46.0
Live by Night,77.0,73.0,73.0,56.0
Nerve,77.0,73.0,73.0,56.0
Mechanic: Resurrection,77.0,73.0,73.0,56.0
Sing Street,56.0,56.0,56.0,56.0
The Light Between Oceans,55.0,55.0,55.0,55.0
Shin Godzilla,77.0,73.0,73.0,56.0
Why Him?,77.0,73.0,76.0,56.0
Miracles from Heaven,79.0,76.0,63.0,55.0
Colossal,77.0,73.0,76.0,56.0
Free Fire,77.0,73.0,73.0,56.0
The Void,77.0,73.0,76.0,56.0
The Exception,77.0,73.0,76.0,56.0
Neighbors 2: Sorority Rising,77.0,73.0,76.0,56.0
Ben-Hur,77.0,73.0,73.0,56.0
Free State of Jones,81.0,71.0,73.0,56.0
Jackie,79.0,76.0,65.0,56.0
Gold,77.0,73.0,76.0,56.0
Pete's Dragon,77.0,73.0,73.0,56.0
31,77.0,73.0,76.0,56.0
Keanu,77.0,73.0,73.0,56.0
Goat,77.0,73.0,76.0,56.0
Storks,77.0,73.0,70.0,46.0
A Monster Calls,55.0,55.0,55.0,55.0
Anthropoid,88.0,72.0,72.0,55.0
Kubo and the Two Strings,57.0,57.0,68.0,46.0
Café Society,77.0,73.0,76.0,56.0
Blair Witch,76.0,76.0,76.0,76.0
The Salesman,55.0,55.0,55.0,55.0
